Sureness Threshold,Number of steps,Batch Size,C,gamma,PCA,Train Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy
1.5,3401,200,3.162278,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,3.162278,0.0001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,3.162278,0.0001,FALSE,49.97%,49.64%,50.00%,99.28%,0.00%,49.64%
1,3401,200,3.162278,0.0001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,3.162278,0.0001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,3.162278,0.001,FALSE,69.62%,68.48%,71.03%,79.95%,57.00%,68.48%
0.5,3401,200,3.162278,0.001,FALSE,55.58%,54.59%,53.77%,17.63%,91.55%,54.59%
1,3401,200,3.162278,0.001,FALSE,58.32%,61.35%,64.09%,18.60%,10.14%,14.37%
1.5,3401,200,3.162278,0.001,FALSE,59.68%,60.75%,61.31%,18.60%,10.14%,14.37%
0,3401,200,3.162278,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0.5,3401,200,3.162278,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1,3401,200,3.162278,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1.5,3401,200,3.162278,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0,3401,200,10,0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,10,0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
1,3401,200,10,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,10,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,10,0.0001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
0.5,3401,200,10,0.0001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
1,3401,200,10,0.0001,FALSE,48.05%,48.07%,48.81%,18.60%,10.14%,14.37%
1.5,3401,200,10,0.0001,FALSE,49.91%,49.64%,50.00%,18.60%,10.14%,14.37%
0,3401,200,10,0.001,FALSE,50.18%,50.24%,50.00%,97.58%,2.90%,50.24%
0.5,3401,200,10,0.001,FALSE,46.61%,48.67%,50.20%,10.63%,86.71%,48.67%
1,3401,200,10,0.001,FALSE,33.42%,33.70%,31.75%,18.60%,10.14%,14.37%
1.5,3401,200,10,0.001,FALSE,34.10%,33.82%,31.94%,18.60%,10.14%,14.37%
0,3401,200,10,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0.5,3401,200,10,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1,3401,200,10,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1.5,3401,200,10,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0,3401,200,31.622777,0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,31.622777,0.00001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
1,3401,200,31.622777,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,31.622777,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
